date,value
2019-01-01,64.51
2019-01-02,1.67
2019-01-03,84.41
2019-01-04,119.14
2019-01-05,20.78
2019-01-06,168.75
2019-01-07,502.43
2019-01-08,437.18
2019-01-09,556.84
2019-01-10,865.35
2019-01-11,54.36
2019-01-12,31.12
2019-01-13,107.0
2019-01-14,32.52
2019-01-15,191.05
2019-01-16,84.94
2019-01-17,127.75
2019-01-18,329.53
2019-01-19,194.58
2019-01-20,203.08
2019-01-21,362.17
2019-01-22,396.74
2019-01-23,365.5
2019-01-24,430.85
2019-01-25,441.33
2019-01-26,576.05
2019-01-27,351.15
2019-01-28,495.09
2019-01-29,608.77
2019-01-30,538.19
2019-01-31,213.69
2019-02-01,409.14
2019-02-02,325.1
2019-02-03,439.5
2019-02-04,426.3
2019-02-05,476.57
2019-02-06,761.67
2019-02-07,603.94
2019-02-08,799.86
2019-02-09,932.02
2019-02-10,389.58
2019-02-11,437.03
2019-02-12,458.79
2019-02-13,308.83
2019-02-14,507.85
2019-02-15,357.8
2019-02-16,511.5
2019-02-17,482.36
2019-02-18,438.77
2019-02-19,521.98
2019-02-20,660.29
2019-02-21,917.97
2019-02-22,680.67
2019-02-23,763.88
2019-02-24,659.22
2019-02-25,776.25
2019-02-26,1039.39
2019-02-27,1099.11
2019-02-28,904.11
2019-03-01,985.91
2019-03-02,556.29
2019-03-03,426.81
2019-03-04,702.41
2019-03-05,687.7
2019-03-06,880.46
2019-03-07,776.08
2019-03-08,780.75
2019-03-09,965.04
2019-03-10,1272.28
2019-03-11,1447.4
2019-03-12,788.97
2019-03-13,502.65
2019-03-14,658.69
2019-03-15,762.22
2019-03-16,867.5
2019-03-17,860.6
2019-03-18,873.38
2019-03-19,627.99
2019-03-20,873.08
2019-03-21,751.8
2019-03-22,790.25
2019-03-23,882.46
2019-03-24,1093.68
2019-03-25,1039.47
2019-03-26,1065.94
2019-03-27,1097.45
2019-03-28,1194.67
2019-03-29,1356.88
2019-03-30,1190.8
2019-03-31,1358.35
2019-04-01,1019.28
2019-04-02,983.44
2019-04-03,1056.34
2019-04-04,963.35
2019-04-05,861.88
2019-04-06,1172.06
2019-04-07,1267.9
2019-04-08,1232.87
2019-04-09,1494.26
2019-04-10,1811.12
2019-04-11,954.9
2019-04-12,1218.47
2019-04-13,1174.22
2019-04-14,1000.7
2019-04-15,1107.09
2019-04-16,1094.22
2019-04-17,987.33
2019-04-18,1258.96
2019-04-19,1150.17
2019-04-20,1302.79
2019-04-21,1140.38
2019-04-22,1180.08
2019-04-23,1387.28
2019-04-24,1207.39
2019-04-25,1443.41
2019-04-26,1411.97
2019-04-27,1262.41
2019-04-28,1381.69
2019-04-29,1661.93
2019-04-30,1591.99
2019-05-01,1243.02
2019-05-02,1183.15
2019-05-03,1373.33
2019-05-04,1051.16
2019-05-05,1403.5
2019-05-06,1388.15
2019-05-07,1372.77
2019-05-08,1509.87
2019-05-09,1896.15
2019-05-10,2006.11
2019-05-11,1551.1
2019-05-12,1309.76
2019-05-13,1295.37
2019-05-14,1172.09
2019-05-15,1156.48
2019-05-16,1152.31
2019-05-17,1096.61
2019-05-18,1189.88
2019-05-19,861.19
2019-05-20,1146.14
2019-05-21,1125.1
2019-05-22,965.88
2019-05-23,996.23
2019-05-24,1060.37
2019-05-25,1012.52
2019-05-26,925.09
2019-05-27,917.24
2019-05-28,982.12
2019-05-29,904.89
2019-05-30,1047.51
2019-05-31,628.05
2019-06-01,572.53
2019-06-02,398.97
2019-06-03,485.59
2019-06-04,503.09
2019-06-05,670.13
2019-06-06,504.12
2019-06-07,648.86
2019-06-08,652.87
2019-06-09,855.57
2019-06-10,32.44
2019-06-11,120.1
2019-06-12,60.93
2019-06-13,17.11
2019-06-14,43.5
2019-06-15,67.56
2019-06-16,220.77
2019-06-17,68.47
2019-06-18,149.76
2019-06-19,347.29
2019-06-20,119.5
2019-06-21,277.85
2019-06-22,190.3
2019-06-23,347.06
2019-06-24,285.78
2019-06-25,178.84
2019-06-26,354.54
2019-06-27,279.0
2019-06-28,286.76
2019-06-29,187.2
